GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.401546,-1.505601,147.88,0,4,237.99,23 / 26,51121,2019-09-08 10:08:37:745,0.0212,-0.3941,9.8019,-0.0015,0.0007,9.8066,0.0059,0.0102,0.004,-7.44,-25.94,31.69,19.51,-80.32,-150.97
52.401546,-1.505601,147.88,0,4,237.99,23 / 26,51222,2019-09-08 10:08:37:846,-0.0378,-0.0038,9.8881,0.0003,-0.0016,9.8065,0.0009,-0.0046,0.0068,-7.25,-25.81,30.94,19.16,-80.29,-150.97
52.401546,-1.505601,147.88,0,4,237.99,23 / 26,51321,2019-09-08 10:08:37:945,0.1376,-0.3013,9.8071,0.0003,0.004,9.8066,0.0343,0.0071,0.0175,-7.81,-25.81,31.69,17.43,-80.26,-151.06
52.401546,-1.505601,147.88,0,4,237.99,23 / 26,51421,2019-09-08 10:08:38:045,0.215,-0.5004,9.8885,-0.0001,0.0012,9.8065,0.0236,-0.0139,0.0128,-7.25,-26,32.06,19.28,-80.25,-151.18
52.401546,-1.505601,147.88,0,4,237.99,23 / 26,51521,2019-09-08 10:08:38:145,0.221,-0.3688,9.8843,0.0008,0.0006,9.8066,0.0176,-0.0023,0.0004,-7.87,-25.56,31.88,17.16,-80.23,-151.3
52.401546,-1.505601,147.88,0,4,237.99,23 / 26,51621,2019-09-08 10:08:38:245,0.0686,-0.2786,9.9138,0.0003,-0.0031,9.8066,-0.0092,-0.0015,-0.0072,-7.44,-25.94,31.56,19.12,-80.2,-151.34
52.401546,-1.505601,147.88,0,4,237.99,23 / 26,51721,2019-09-08 10:08:38:345,0.1688,-0.4063,9.916,0.0008,0.0005,9.8066,0.0166,-0.0067,-0.0016,-7,-25.87,31.69,19.11,-80.18,-151.36
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,51821,2019-09-08 10:08:38:445,0.2838,-1.4624,10.0888,0.0007,-0.0021,9.8066,0.0169,-0.004,0.0017,-7.12,-25.19,32,18.79,-80.15,-151.54
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,51922,2019-09-08 10:08:38:546,0.0902,-0.4237,9.9181,0.003,-0.0063,9.8066,0.002,0.0103,-0.0091,-7.5,-25.5,32.31,18.56,-80.11,-151.75
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52021,2019-09-08 10:08:38:645,0.2182,-1.4821,9.8682,0.0029,-0.0132,9.8066,0.0053,-0.0134,-0.0009,-7.5,-25.75,32.44,18.12,-79.99,-152.26
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52121,2019-09-08 10:08:38:745,0.4156,-1.2132,10.0783,0.0024,-0.017,9.8066,0.0143,-0.0111,0.0037,-7.44,-25.87,32.19,17.58,-79.84,-152.77
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52221,2019-09-08 10:08:38:845,0.5762,-1.7037,9.8488,0.002,-0.0013,9.8066,-0.0024,0.0106,-0.0214,-7.25,-25.56,32.5,17.78,-79.82,-152.9
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52322,2019-09-08 10:08:38:946,0.4962,-2.7795,9.8358,0.0003,0.0085,9.8066,0.0329,-0.0031,0.0002,-7.44,-26.06,32.38,17.26,-79.79,-153.05
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52421,2019-09-08 10:08:39:045,0.3528,-2.0411,9.8683,0.003,-0.0038,9.8066,0.0598,-0.0048,0.014,-7.56,-26.69,32.63,15.67,-79.82,-153.12
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52521,2019-09-08 10:08:39:145,0.4776,-1.8374,10.1423,-0.0037,-0.0007,9.8066,0.0266,0.0032,-0.0068,-7.81,-26.19,31.63,15.01,-79.85,-153.24
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52622,2019-09-08 10:08:39:246,-0.1579,-1.7344,9.951,0.0011,0.0012,9.8066,-0.0137,0.0238,0.0109,-7.5,-25.69,32.38,17.15,-79.81,-153.15
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52722,2019-09-08 10:08:39:346,0.2272,-2.1234,10.0868,0.0007,-0.0073,9.8066,0.0098,-0.0033,-0.0418,-7.56,-25.56,31.56,14.96,-79.8,-153.3
52.401546,-1.505601,147.88,0,4,237.99,23 / 27,52821,2019-09-08 10:08:39:445,0.45,-2.3149,9.7767,0.0046,-0.0201,9.8066,0.036,-0.0226,0.0001,-7.12,-25.69,31.88,16.53,-79.68,-153.71
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,52921,2019-09-08 10:08:39:545,0.4129,-1.7006,9.9519,0.0034,-0.0052,9.8066,0.0951,0.0006,-0.0222,-6.94,-26,31.56,16.33,-79.68,-153.87
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53022,2019-09-08 10:08:39:646,0.102,-1.6078,10.2812,0.0002,-0.0046,9.8066,0.0234,0.0113,0.0495,-7.12,-25.06,32.25,16.23,-79.64,-153.89
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53122,2019-09-08 10:08:39:746,0.4157,-2.9488,10.6947,0.0031,-0.0086,9.8066,0.0287,0.0382,0.0713,-7.31,-26,32.31,16.37,-79.66,-153.85
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53222,2019-09-08 10:08:39:846,-0.4567,-1.6811,10.7612,-0.0019,-0.0066,9.8066,0.0351,-0.0258,0.0243,-7.12,-25.62,33.06,16.65,-79.66,-153.9
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53321,2019-09-08 10:08:39:945,-0.1379,-1.6673,9.7205,0.0075,-0.0138,9.8066,0.1095,-0.0456,-0.0264,-7.37,-26.12,32.81,15.74,-79.73,-154.67
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53421,2019-09-08 10:08:40:045,0.2425,-1.9586,10.016,-0.0005,-0.001,9.8066,-0.04,-0.0094,0.0225,-7.12,-25.31,32.31,15.34,-79.84,-154.59
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53522,2019-09-08 10:08:40:146,0.3407,-2.3252,9.6665,0.0134,0.0206,9.8065,-0.074,0.0377,-0.0255,-7,-25.37,32.31,15.57,-79.87,-154.39
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53622,2019-09-08 10:08:40:246,-0.1685,-1.3466,9.4916,-0.0046,0.0103,9.8066,-0.0596,-0.0474,0.0001,-6.69,-24.87,32.44,15.43,-80.03,-154.47
52.401546,-1.505601,147.88,0,4,237.99,25 / 27,53721,2019-09-08 10:08:40:345,0.0466,-1.5265,9.814,-0.0015,0.0118,9.8066,-0.0387,-0.0535,-0.012,-7.5,-25.25,32.63,15.82,-80.04,-154.43
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,53821,2019-09-08 10:08:40:445,-0.9415,-1.6925,9.7696,-0.0043,0.0005,9.8066,-0.0024,-0.0925,-0.0205,-7.87,-25.81,32.06,14.04,-80.04,-154.02
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,53921,2019-09-08 10:08:40:545,-0.8846,-1.5838,9.7744,-0.0005,0.0043,9.8066,0.0504,-0.1304,0.0093,-6.87,-26,31.56,15.57,-80.03,-154.43
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54021,2019-09-08 10:08:40:645,0.0308,-1.2794,9.9982,0.0044,-0.0062,9.8065,-0.0184,-0.194,0.0433,-7,-26.31,31.94,15.46,-80.03,-154.52
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54121,2019-09-08 10:08:40:745,-1.5616,-0.9759,9.6378,-0.0055,0.0052,9.8065,-0.0596,-0.115,0.0086,-6.75,-25.06,31.44,14.63,-80.13,-154.81
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54222,2019-09-08 10:08:40:846,-1.077,-1.6867,9.9001,0.0056,0.0098,9.8066,0.0062,-0.1431,0.0128,-6.19,-24.81,31.69,17.11,-80.1,-154.74
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54321,2019-09-08 10:08:40:945,-1.0017,-1.0488,9.8921,0.0029,0.0121,9.8066,-0.0832,-0.2154,0.039,-6.25,-25.56,30.81,17.18,-80.1,-154.5
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54421,2019-09-08 10:08:41:045,-1.8624,0.4869,10.2674,0.003,0.0189,9.8066,-0.0393,-0.2815,0.0026,-6.62,-26,30.31,14.57,-80.2,-154.58
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54521,2019-09-08 10:08:41:145,-1.7939,-0.5866,10.0238,0.0061,-0.0147,9.8066,-0.0003,-0.3422,0.044,-5.69,-25.56,29.88,15.41,-80.08,-155.73
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54621,2019-09-08 10:08:41:245,-2.0041,-1.1801,10.1438,0.016,-0.0095,9.8066,-0.0255,-0.337,-0.0542,-5.69,-26.75,29.06,14.23,-80.1,-156.49
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54721,2019-09-08 10:08:41:345,-1.0698,-0.3072,10.0144,-0.0002,0.0109,9.8066,-0.0424,-0.3561,0.0239,-5.44,-26.62,28.81,15.97,-80.13,-156.95
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54822,2019-09-08 10:08:41:446,-1.8529,-1.0767,9.6502,0.0036,0.0236,9.8066,0.0139,-0.3846,0.089,-4.94,-26.87,27.69,15.44,-80.11,-157.14
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,54922,2019-09-08 10:08:41:546,-2.6455,-0.1843,10.121,-0.0034,-0.0211,9.8065,0.0242,-0.4051,0.0958,-5.44,-26.56,27.63,15.36,-80,-157.24
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55021,2019-09-08 10:08:41:645,-1.956,-0.9949,9.6535,0.0025,-0.0171,9.8065,-0.0303,-0.4098,0.0912,-5.25,-26.56,27.31,14.91,-79.81,-157.39
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55122,2019-09-08 10:08:41:746,-2.4402,-0.8779,9.4308,-0.0047,0.0114,9.8066,-0.0216,-0.3997,0.069,-5,-26.87,25.31,14.58,-79.84,-157.03
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55221,2019-09-08 10:08:41:845,-2.9485,0.5966,9.9155,-0.0054,0.0163,9.8066,-0.0291,-0.4211,0.0895,-4.37,-27.06,25.56,18.14,-79.92,-156.59
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55321,2019-09-08 10:08:41:945,-3.0131,-0.5161,10.0025,0.0058,0.0094,9.8066,-0.0269,-0.4904,0.1,-4.56,-27.37,24.69,15.63,-80.04,-156.11
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55421,2019-09-08 10:08:42:045,-2.1258,-0.3143,10.1061,0.0224,0.0255,9.8065,-0.0466,-0.4583,0.0214,-4.62,-28.25,22.94,13.43,-80.37,-157.14
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55522,2019-09-08 10:08:42:146,-1.7264,-0.4518,9.8068,0.0168,0.004,9.8065,-0.0764,-0.4379,0.0378,-3.81,-28,21.81,14.88,-80.58,-158.02
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55622,2019-09-08 10:08:42:246,-2.5331,-0.4219,9.529,0.0055,-0.0113,9.8066,-0.0489,-0.4158,0.021,-3.19,-28.37,21.13,16.56,-80.74,-158.99
52.401546,-1.505601,147.88,0,4,237.99,26 / 28,55721,2019-09-08 10:08:42:345,-2.0339,-0.1487,8.5108,-0.0011,0.0224,9.8065,-0.0625,-0.4051,0.0161,-4.25,-28.12,19.13,12.37,-81,-158.66
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,55822,2019-09-08 10:08:42:446,-3.7622,0.1764,11.2107,-0.0056,0.0245,9.8066,0.0271,-0.39,-0.018,-3.81,-27.81,19.13,13.37,-81.02,-157.88
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,55921,2019-09-08 10:08:42:545,-1.6444,-0.8973,10.98,0.0605,0.0092,9.8064,0.0813,-0.4011,-0.0172,-3.44,-27.44,18.06,14.05,-81.13,-159.82
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56022,2019-09-08 10:08:42:646,-1.6065,-1.1617,9.7083,0.0242,-0.0092,9.8065,-0.102,-0.4248,0.0343,-4.19,-28.06,16.81,6.71,-81.16,-161.77
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56122,2019-09-08 10:08:42:746,-1.8684,-0.4513,9.3791,0.0175,-0.0116,9.8066,-0.0315,-0.4204,0.0134,-3.87,-28.25,16.19,2.42,-81.02,-164.21
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56222,2019-09-08 10:08:42:846,-2.1735,-1.2507,10.4338,-0.0024,-0.0564,9.8064,0.0823,-0.4145,0.0919,-3.44,-28.31,16.06,5.54,-80.82,-165.43
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56322,2019-09-08 10:08:42:946,-2.3447,-2.1306,10.3529,0.0146,-0.0202,9.8065,-0.0051,-0.3778,0.0805,-3.75,-29.69,14.88,358.7,-80.37,-165.93
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56422,2019-09-08 10:08:43:046,-1.5237,-1.7772,9.8385,0.0006,0.0402,9.8065,-0.1132,-0.4015,0.085,-3.94,-29.94,14.38,356.3,-80.73,-166.48
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56522,2019-09-08 10:08:43:146,-2.125,-0.7313,9.6614,-0.0132,0.0416,9.8065,-0.1045,-0.3921,0.0503,-3.56,-29.87,13.63,357.05,-81.09,-166.03
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56622,2019-09-08 10:08:43:246,-1.7346,-1.5361,9.458,-0.0037,0.007,9.8066,-0.1011,-0.3679,0.0516,-4.62,-30.75,13.13,349.6,-81.44,-165.82
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,56721,2019-09-08 10:08:43:345,-1.7935,-1.3398,9.7562,-0.0095,-0.0074,9.8065,-0.1514,-0.3682,0.0485,-4.56,-29.44,12.38,348.99,-81.67,-164.73
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,56821,2019-09-08 10:08:43:445,-2.0295,-2.1578,9.8467,-0.015,0.0138,9.8065,-0.1032,-0.3901,0.0759,-5.44,-29.19,12.06,350.9,-81.97,-163.57
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,56921,2019-09-08 10:08:43:545,-1.8759,-1.6147,9.8244,-0.0183,0.0121,9.8066,-0.057,-0.3677,0.0607,-6,-28.75,10.88,344.47,-82.21,-161.96
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57021,2019-09-08 10:08:43:645,-1.2499,-2.2069,9.6474,0.0015,0.0098,9.8065,-0.0019,-0.3639,0.0293,-6.5,-29.06,9.88,340.52,-82.32,-161.98
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57121,2019-09-08 10:08:43:745,-0.7409,-2.3772,9.459,-0.0033,-0.0101,9.8066,-0.0564,-0.3717,0.0657,-7,-28.94,9.19,330.53,-82.3,-161.71
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57221,2019-09-08 10:08:43:845,-1.2388,-3.1463,9.7341,-0.0176,-0.0004,9.8066,-0.0188,-0.3784,0.0678,-7.62,-28.94,7.81,322.29,-82.31,-160.31
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57322,2019-09-08 10:08:43:946,-0.1769,-2.6957,10.1945,-0.0163,-0.0051,9.8066,-0.0259,-0.3667,0.1059,-8.56,-28.62,7.69,321.21,-82.45,-158.7
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57422,2019-09-08 10:08:44:046,-0.29,-1.6289,9.9743,-0.0015,-0.0102,9.8066,-0.0381,-0.3381,0.0709,-9.37,-29,7,317.35,-82.43,-157.11
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57521,2019-09-08 10:08:44:145,-0.0089,-0.6846,9.8378,0.0006,-0.0309,9.8065,-0.0435,-0.2401,0.0191,-9.5,-28.56,6.44,312.97,-82.29,-155.13
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57621,2019-09-08 10:08:44:245,0.3066,-2.7936,9.3201,-0.0012,-0.0261,9.8066,-0.0773,-0.2291,0.0448,-9.81,-28.56,6.13,313.34,-82.11,-152.9
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57722,2019-09-08 10:08:44:346,-0.04,-2.0975,9.1549,-0.0145,-0.0158,9.8066,-0.0977,-0.3076,0.1096,-10.69,-28.75,5.63,313.84,-82.09,-151.14
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 27,57821,2019-09-08 10:08:44:445,0.1078,-1.9525,10.3017,-0.0215,-0.0161,9.8065,-0.0738,-0.2896,0.0988,-11.5,-28.75,5.38,311.04,-82.07,-148.6
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,57922,2019-09-08 10:08:44:546,-0.0492,-1.7124,10.358,-0.0205,-0.0113,9.8066,-0.0355,-0.2743,0.0601,-12.06,-28.87,4.69,313.21,-82.13,-146.22
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58021,2019-09-08 10:08:44:645,0.6078,-1.6162,9.7972,0.0086,0.001,9.8066,-0.0341,-0.2138,0.0019,-12.37,-29.06,3.75,309.65,-82.17,-144.53
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58121,2019-09-08 10:08:44:745,0.8857,-1.8818,9.8769,0.022,0.005,9.8066,0.0607,-0.251,0.0256,-13.12,-28.62,3.94,307.22,-82.05,-145.95
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58222,2019-09-08 10:08:44:846,0.8822,-0.525,9.5213,0.003,0.0126,9.8066,0.0264,-0.2838,0.0959,-13.19,-28.69,3.25,299.61,-81.97,-147.72
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58321,2019-09-08 10:08:44:945,0.4492,-1.6877,9.9225,-0.0025,-0.0071,9.8066,0.0072,-0.2144,0.039,-13.19,-28.06,2.94,300.44,-81.95,-147.52
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58421,2019-09-08 10:08:45:045,0.6763,-1.7188,10.0308,0.0001,-0.0015,9.8066,-0.0471,-0.2087,0.0112,-13.56,-28.69,3.5,305.07,-81.89,-147.21
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58521,2019-09-08 10:08:45:145,0.1775,-2.0973,9.8742,-0.0073,0.0057,9.8066,0.0162,-0.1996,0.0138,-14.31,-27.81,2.63,300.99,-81.93,-147.14
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58621,2019-09-08 10:08:45:245,0.4605,-1.1976,9.5565,-0.0071,0.0038,9.8066,-0.0046,-0.2016,0.0215,-14.19,-28.37,3.25,300.07,-81.89,-147.87
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58722,2019-09-08 10:08:45:346,0.3534,-1.4515,10.209,0.0021,-0.0001,9.8066,-0.0599,-0.1979,0.0008,-14.62,-28.5,2.44,295.85,-81.91,-147.86
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 28,58821,2019-09-08 10:08:45:445,0.6461,-1.5505,9.9233,0.0007,-0.0014,9.8066,-0.0425,-0.117,-0.0417,-14.69,-28.25,2.69,300.5,-82,-147.8
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,58921,2019-09-08 10:08:45:545,0.3077,-1.2791,10.3529,0.0022,-0.0005,9.8066,0.0194,-0.1636,0.0408,-15.25,-27.87,2.06,295.92,-81.98,-147.92
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59021,2019-09-08 10:08:45:645,1.4779,-1.1004,9.548,0.0215,-0.0088,9.8066,-0.0686,-0.1271,0.0295,-15.12,-27.94,2.31,296.2,-81.98,-147.66
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59124,2019-09-08 10:08:45:748,0.4903,-0.0784,9.8426,0.0229,-0.0177,9.8065,-0.0902,-0.0821,0,-15.5,-28.06,1.5,296.6,-81.89,-147.16
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59222,2019-09-08 10:08:45:846,0.5152,-1.1712,9.7494,-0.0108,-0.0142,9.8066,0.0744,-0.1222,0.0505,-15.5,-27.06,1.31,294.65,-81.71,-145.19
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59321,2019-09-08 10:08:45:945,1.0303,-0.9193,10.2702,0.0089,-0.0048,9.8066,-0.0104,-0.1178,0.0812,-16.25,-27.81,1.56,299.04,-81.58,-144.87
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59421,2019-09-08 10:08:46:045,0.3133,-0.8274,9.6699,0.0067,-0.0066,9.8066,0.035,-0.1103,0.0409,-16.31,-28.12,1.94,299.5,-81.52,-144.37
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59521,2019-09-08 10:08:46:145,1.3569,-0.5138,9.8458,0.0079,0.0032,9.8066,-0.0027,-0.0338,-0.04,-17,-27.5,1.88,300.12,-81.45,-144.51
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59621,2019-09-08 10:08:46:245,-0.0564,-0.0131,10.1501,-0.0186,-0.0026,9.8066,0.0538,-0.0416,-0.0185,-15.94,-27.06,2,299.2,-81.58,-145.2
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59721,2019-09-08 10:08:46:345,0.7798,-0.1396,9.95,-0.0297,0.0071,9.8065,0.0762,-0.0913,-0.0094,-16.87,-27.31,1.19,296.31,-81.77,-144.98
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59821,2019-09-08 10:08:46:445,0.5442,0.0691,9.7401,0.0143,-0.0067,9.8066,-0.1041,-0.0218,0.023,-16.31,-27.06,0.88,295.47,-81.77,-145.19
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,59921,2019-09-08 10:08:46:545,0.1198,-1.3492,10.6894,-0.0136,-0.0029,9.8066,0.0221,-0.1345,0.0719,-16.69,-27.06,1,296.71,-81.71,-144.53
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60021,2019-09-08 10:08:46:645,0.6885,-0.0631,9.7526,0.0194,0.0039,9.8066,-0.0472,-0.0867,0.0007,-16.25,-27.19,1.19,296.86,-81.67,-143.78
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60122,2019-09-08 10:08:46:746,-0.1276,0.9339,10.138,-0.0024,0.0089,9.8066,0.0443,-0.0881,-0.0469,-17.06,-27.25,1.13,296.19,-81.51,-144.68
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60221,2019-09-08 10:08:46:845,0.8525,-0.6856,10.4466,0.0333,0.0002,9.8065,0.0075,-0.0878,0.0434,-16.5,-27.12,1.44,294.6,-81.36,-145.3
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60322,2019-09-08 10:08:46:946,1.3198,-0.1806,10.0911,0.0153,0.0045,9.8066,0.0212,-0.0068,-0.0255,-17.12,-27.56,1.19,293.33,-81.11,-146.16
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60422,2019-09-08 10:08:47:046,-0.4933,-0.3267,9.4447,-0.0096,-0.0055,9.8066,0.0176,0.0221,-0.044,-16.81,-27.56,1.31,293.21,-81.15,-146.33
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60521,2019-09-08 10:08:47:145,-0.6552,-0.1872,10.3179,0.0038,-0.0035,9.8066,-0.0403,-0.0309,-0.0217,-17.37,-27.06,0.38,289.79,-81.11,-146.48
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60621,2019-09-08 10:08:47:245,0.6098,-0.5786,10.0266,0.0022,-0.0097,9.8066,0.0285,0.0081,-0.0077,-16.81,-26.81,1,294.06,-81.14,-146.04
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60722,2019-09-08 10:08:47:346,0.132,0.3031,10.3368,-0.0122,-0.0011,9.8066,0.0941,-0.123,0.1177,-17.56,-27.5,1,295.06,-81.13,-145.65
52.40152,-1.505763,148.89,5.18,3,280.98,27 / 28,60822,2019-09-08 10:08:47:446,1.3971,0.1189,9.6849,0.0068,-0.0104,9.8066,0.0562,-0.029,0.0572,-17.87,-27.5,1.25,295.52,-80.95,-144.98
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,60921,2019-09-08 10:08:47:545,1.3317,0.0046,9.7547,-0.0021,-0.0121,9.8066,0.0397,-0.014,0.0417,-18.19,-27.25,1.56,299.66,-80.75,-144.22
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61022,2019-09-08 10:08:47:646,1.2129,0.0556,9.94,0.0214,-0.0174,9.8066,-0.0819,-0.0163,0.0327,-17.94,-27.19,1.25,296.85,-80.54,-143.19
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61122,2019-09-08 10:08:47:746,0.1992,-0.4564,10.6103,0.0252,-0.0024,9.8066,-0.0288,0.0162,-0.0231,-18.5,-27.87,1.56,300.25,-80.43,-142.78
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61221,2019-09-08 10:08:47:845,-0.0081,0.1539,9.7258,-0.0054,0.0075,9.8066,0.0796,-0.0268,0.0184,-18.31,-27.5,1.13,296.62,-80.32,-143.06
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61322,2019-09-08 10:08:47:946,0.9968,0.6823,9.309,-0.0124,0.0025,9.8066,0.0286,0.05,-0.0367,-17.75,-27.75,1.38,295.02,-80.25,-143.89
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61421,2019-09-08 10:08:48:045,-0.5722,0.1916,9.7899,-0.0171,0.0068,9.8066,0.0476,0.0177,-0.0319,-18.19,-28,2.13,297.86,-80.19,-144.5
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61521,2019-09-08 10:08:48:145,-0.6275,-0.5639,9.6894,-0.0137,0.0105,9.8066,0.0374,-0.0502,0.0266,-17.69,-27.12,1.94,298.14,-80.39,-145.04
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61621,2019-09-08 10:08:48:245,0.1785,0.2391,10.0856,0.0062,0.0018,9.8066,0.056,-0.0264,0.0038,-18.06,-27.94,1.88,296.94,-80.31,-145.49
52.40152,-1.505763,148.89,5.18,3,280.98,25 / 26,61721,2019-09-08 10:08:48:345,-0.4986,0.1203,10.1889,0.0124,-0.0094,9.8066,0.043,0.025,0.0137,-17.44,-27.87,1.31,292.44,-80.22,-145.47
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,61821,2019-09-08 10:08:48:445,0.7228,-0.9167,10.0024,0.0149,-0.0153,9.8066,-0.0489,0.1113,-0.0672,-17.87,-27.37,2.25,297.77,-80.16,-145.04
52.40152,-1.505763,148.89,5.18,3,280.98,26 / 27,61921,2019-09-08 10:08:48:545,-0.8433,0.3615,10.3728,0.0104,-0.0088,9.8066,0.036,-0.0038,0.0224,-18,-27.94,2,297.69,-80.06,-144.46
